
 Node          U1          U2          U3
  408  -1.005e-06   1.619e-06   2.717e-05
  409   1.916e-07   6.025e-07   3.309e-06
  410   1.060e-07   3.585e-07   1.944e-06
  411   6.294e-08   2.109e-07   1.150e-06
  412   3.051e-08   1.295e-07   7.100e-07
  413   1.885e-09   1.026e-07   5.593e-07
  414  -2.632e-08   1.267e-07   6.796e-07
  415  -6.413e-08   2.034e-07   1.101e-06
  416  -1.278e-07   3.429e-07   2.006e-06
  417  -1.282e-07   5.448e-07   3.389e-06
  418  -8.690e-09   7.456e-07   4.169e-06
  419   2.236e-07   3.886e-07   4.866e-06
  420   3.438e-07   3.795e-07   8.792e-06
  421   4.302e-07   2.496e-07   1.201e-05
  422   5.073e-07   3.485e-08   1.344e-05
  423   5.847e-07  -2.047e-07   1.251e-05
  424   5.676e-07  -3.803e-07   9.385e-06
  425  -3.676e-07   1.055e-06   6.109e-06
  426  -3.418e-07   1.611e-06   1.002e-05
  427   1.644e-08   2.136e-06   1.194e-05
  428   1.125e-07   5.796e-07   3.601e-06
  429   1.211e-07   4.018e-07   2.371e-06
  430  -8.524e-07  -9.580e-07   1.188e-05
  431  -1.222e-06  -8.946e-07   2.154e-05
  432  -1.321e-06  -5.114e-07   2.890e-05
  433  -1.249e-06   3.809e-08   3.137e-05
  434  -1.168e-06   5.621e-07   2.827e-05
  435  -9.965e-07   8.982e-07   2.074e-05
  436  -6.664e-07   9.325e-07   1.138e-05
  437   2.388e-07  -5.512e-07   3.315e-06
  438   2.256e-07  -9.044e-07   5.854e-06
  439  -1.023e-08  -1.246e-06   7.061e-06
  440  -4.757e-07  -1.914e-06   1.240e-05
  441  -4.886e-07  -1.194e-06   7.125e-06
  442  -1.009e-06  -1.422e-06   2.095e-05
  443   2.592e-07   5.216e-07   7.210e-06
  444   4.061e-07  -4.163e-07   5.200e-06
  445   8.173e-08   2.602e-07   1.430e-06
  446   3.463e-07   4.525e-07   1.225e-05
  447   3.444e-07   2.919e-07   1.593e-05
  448   3.806e-07   1.164e-07   1.787e-05
  449   4.905e-07  -1.174e-07   1.793e-05
  450   6.042e-07  -4.252e-07   1.517e-05
  451  -2.436e-07   6.201e-07   3.326e-06
  452  -3.157e-07  -6.368e-07   3.419e-06
  453  -1.285e-06  -1.032e-06   3.382e-05
  454  -1.116e-06  -4.034e-07   4.109e-05
  455  -9.666e-07   1.205e-07   4.239e-05
  456  -9.741e-07   5.891e-07   3.900e-05
  457  -7.773e-07   1.326e-06   1.839e-05
  458   3.306e-07   6.138e-07   9.969e-06
  459   4.869e-07  -6.344e-07   9.550e-06
  460  -1.029e-06   1.076e-06   3.076e-05
  461  -1.342e-06  -1.763e-06   3.223e-05
  462   1.541e-07  -2.799e-07   1.509e-06

Element GaussStrain

        E11         E22         E33         E12         E23         E13
Element     1
  1.295e-08   1.249e-08   2.318e-10   1.166e-09   7.347e-08   1.430e-08
 -1.480e-08  -1.292e-08   2.318e-10  -3.531e-09   7.345e-08   1.625e-08
  1.295e-08   1.614e-08   9.944e-09  -6.408e-10   1.296e-07  -1.244e-07
 -1.480e-08  -1.788e-08   9.944e-09  -4.128e-10   1.277e-07  -1.225e-07
  1.114e-08   1.249e-08   1.122e-10   4.810e-09  -5.360e-08   3.626e-08
 -1.168e-08  -1.292e-08   1.122e-10  -8.488e-09  -5.362e-08   3.629e-08
  1.114e-08   1.614e-08   2.294e-10   3.003e-09  -4.045e-08  -7.785e-08
 -1.168e-08  -1.788e-08   2.294e-10  -5.370e-09  -4.239e-08  -7.783e-08
Element     2
  9.613e-09   6.534e-09   4.868e-11   6.364e-09   4.297e-08   4.185e-08
